Home,Away,Home_Goals,Away_Goals
Vegalia Senda,Obiya Arcadia,2,2
Shimizun,Tokushira,1,0
Kofox,Vegalia Senda,0,0
C-Osario,FC Torii,0,0
Kawasari Foresta,Urawind,2,1
Koban,Ablihex Nimbus,1,0
Nagomi,Kashirama,2,3
Obiya Arcadia,G-Olympus,0,2
Yomoyama Mystic,Kashiwave,2,2
Hirostar,Savan Taurus,1,0
G-Olympus,Nagomi,0,1
Urawind,Hirostar,1,0
Kashirama,Kofox,1,0
Ablihex Nimbus,Obiya Arcadia,2,1
Kashiwave,Koban,2,0
Kawasari Foresta,C-Osario,5,4
Savan Taurus,FC Torii,0,2
Tokushira,Yomoyama Mystic,0,3
Vegalia Senda,Shimizun,3,2
Shimizun,Kashirama,1,3
FC Torii,Urawind,4,4
Kofox,G-Olympus,3,3
Ablihex Nimbus,Tokushira,1,2
Hirostar,C-Osario,0,0
Koban,Vegalia Senda,2,1
Nagomi,Kashiwave,1,1
Obiya Arcadia,Savan Taurus,1,3
Yomoyama Mystic,Kawasari Foresta,2,0
G-Olympus,Ablihex Nimbus,5,0
Urawind,Obiya Arcadia,4,0
Tokushira,Hirostar,0,1
C-Osario,Koban,1,2
Kashirama,FC Torii,2,2
Kashiwave,Kofox,3,0
Nagomi,Kawasari Foresta,1,1
Savan Taurus,Shimizun,2,2
Vegalia Senda,Yomoyama Mystic,1,2
Shimizun,Urawind,1,4
Obiya Arcadia,Kashirama,2,1
FC Torii,Koban,1,1
Kofox,Savan Taurus,1,0
Ablihex Nimbus,Vegalia Senda,1,0
C-Osario,Kashiwave,2,0
Hirostar,G-Olympus,0,1
Kawasari Foresta,Tokushira,4,0
Yomoyama Mystic,Nagomi,0,2
Nagomi,Kofox,2,0
G-Olympus,C-Osario,2,0
Hirostar,Ablihex Nimbus,2,0
Kashirama,Yomoyama Mystic,1,0
Kawasari Foresta,FC Torii,0,0
Koban,Shimizun,3,1
Savan Taurus,Vegalia Senda,2,1
Tokushira,Obiya Arcadia,0,2
Urawind,Kashiwave,3,1
Shimizun,G-Olympus,0,3
Vegalia Senda,Kashirama,0,1
Ablihex Nimbus,Urawind,0,2
FC Torii,Tokushira,4,0
Yomoyama Mystic,Hirostar,1,0
Obiya Arcadia,Kawasari Foresta,1,3
Kofox,Koban,2,0
C-Osario,Nagomi,1,2
Kashiwave,Savan Taurus,2,0
Yomoyama Mystic,Kofox,0,0
Hirostar,Koban,1,1
FC Torii,Kashiwave,4,0
G-Olympus,Savan Taurus,4,1
Obiya Arcadia,Shimizun,2,1
C-Osario,Urawind,1,0
Kawasari Foresta,Vegalia Senda,1,1
Tokushira,Kashirama,0,5
Nagomi,Ablihex Nimbus,0,1
Kashirama,G-Olympus,2,3
Shimizun,C-Osario,3,0
Urawind,Tokushira,2,1
Koban,Nagomi,1,3
Savan Taurus,Yomoyama Mystic,1,0
Kashiwave,Hirostar,0,0
Vegalia Senda,FC Torii,1,0
Kofox,Obiya Arcadia,0,1
Ablihex Nimbus,Kawasari Foresta,3,0
Tokushira,Koban,2,2
G-Olympus,Kawasari Foresta,1,0
Kashirama,Kashiwave,2,3
Vegalia Senda,Urawind,4,2
Ablihex Nimbus,Kofox,0,0
Yomoyama Mystic,Shimizun,1,0
Hirostar,Nagomi,4,0
Obiya Arcadia,FC Torii,1,0
Savan Taurus,C-Osario,1,0
C-Osario,Tokushira,3,1
FC Torii,Hirostar,2,1
Kashiwave,G-Olympus,1,0
Kawasari Foresta,Savan Taurus,2,0
Koban,Kashirama,0,0
Nagomi,Vegalia Senda,0,0
Obiya Arcadia,Yomoyama Mystic,2,3
Shimizun,Ablihex Nimbus,2,1
Urawind,Kofox,0,0
Vegalia Senda,Kashiwave,1,2
Koban,Obiya Arcadia,2,1
Savan Taurus,Ablihex Nimbus,0,2
G-Olympus,FC Torii,2,1
Kashirama,Urawind,1,1
Kofox,Kawasari Foresta,2,1
Shimizun,Hirostar,1,3
Tokushira,Nagomi,0,2
Yomoyama Mystic,C-Osario,0,0
C-Osario,Kofox,1,3
G-Olympus,Vegalia Senda,1,1
Nagomi,FC Torii,2,2
Ablihex Nimbus,Kashirama,1,2
Hirostar,Obiya Arcadia,1,1
Kashiwave,Tokushira,2,0
Kawasari Foresta,Shimizun,2,3
Savan Taurus,Koban,2,1
Yomoyama Mystic,Urawind,0,1
Kashirama,Kawasari Foresta,2,1
Koban,Yomoyama Mystic,1,2
Kofox,Hirostar,2,0
Tokushira,Savan Taurus,0,1
Urawind,G-Olympus,0,2
FC Torii,Ablihex Nimbus,1,3
Obiya Arcadia,Kashiwave,1,2
Shimizun,Nagomi,2,2
Vegalia Senda,C-Osario,3,3
C-Osario,Kashirama,1,4
G-Olympus,Koban,3,1
Kashiwave,Shimizun,3,1
Kawasari Foresta,Hirostar,1,1
Savan Taurus,Urawind,1,1
Kofox,FC Torii,0,0
Nagomi,Obiya Arcadia,2,1
Vegalia Senda,Tokushira,2,1
Yomoyama Mystic,Ablihex Nimbus,1,0
Ablihex Nimbus,Kashiwave,0,2
FC Torii,Yomoyama Mystic,1,1
Hirostar,Vegalia Senda,2,0
Kashirama,Savan Taurus,0,1
Koban,Kawasari Foresta,1,2
Obiya Arcadia,C-Osario,2,0
Shimizun,Kofox,0,0
Tokushira,G-Olympus,0,0
Urawind,Nagomi,1,2
G-Olympus,FC Torii,2,2
Hirostar,Kofox,2,0
Nagomi,Yamagala,3,3
Savan Taurus,Ablihex Nimbus,2,1
Vegalia Senda,Monotedia Yamauchi,2,0
Yomoyama Mystic,Kawasari Foresta,1,3
Koban,Kashiwave,0,1
Shonara,Urawind,1,3
Shimizun,Kashirama,3,1
Kashiwave,Vegalia Senda,1,1
Ablihex Nimbus,Shimizun,0,0
FC Torii,Yomoyama Mystic,0,0
Kashirama,Shonara,1,2
Kofox,Nagomi,1,0
Kawasari Foresta,Koban,2,2
Urawind,Monotedia Yamauchi,1,0
Savan Taurus,G-Olympus,1,0
Yamagala,Hirostar,1,2
Ablihex Nimbus,Kashiwave,3,2
Hirostar,Urawind,0,0
Kofox,G-Olympus,0,2
Shimizun,Yamagala,0,1
Yomoyama Mystic,Savan Taurus,1,0
Shonara,Vegalia Senda,0,0
Koban,FC Torii,0,2
Nagomi,Kashirama,1,1
Monotedia Yamauchi,Kawasari Foresta,1,0
G-Olympus,Nagomi,3,1
Kashirama,Savan Taurus,3,1
Vegalia Senda,Shimizun,2,1
Monotedia Yamauchi,Shonara,1,2
Kawasari Foresta,Ablihex Nimbus,4,1
Urawind,Yamagala,1,0
FC Torii,Kofox,1,0
Hirostar,Koban,0,1
Kashiwave,Yomoyama Mystic,1,2
Yamagala,Kashiwave,1,3
Nagomi,Hirostar,2,0
Yomoyama Mystic,Vegalia Senda,1,1
Shimizun,G-Olympus,2,3
Koban,Kofox,4,1
Savan Taurus,Monotedia Yamauchi,1,0
Shonara,FC Torii,0,1
Kawasari Foresta,Urawind,1,1
Kashirama,Ablihex Nimbus,1,1
Kashiwave,Kashirama,1,3
Ablihex Nimbus,Koban,2,2
Kofox,Savan Taurus,0,3
Monotedia Yamauchi,Yamagala,0,0
Vegalia Senda,Kawasari Foresta,2,3
FC Torii,Hirostar,1,2
Urawind,Yomoyama Mystic,2,1
Shonara,G-Olympus,0,2
Nagomi,Shimizun,3,1
Hirostar,Shimizun,2,0
Kashirama,Koban,1,2
Yamagala,Vegalia Senda,1,0
Savan Taurus,Kashiwave,1,1
Yomoyama Mystic,Shonara,3,0
Urawind,Nagomi,2,1
Monotedia Yamauchi,FC Torii,0,1
Kawasari Foresta,Kofox,3,0
G-Olympus,Ablihex Nimbus,2,1
Ablihex Nimbus,FC Torii,0,1
Kawasari Foresta,Kashiwave,1,4
Shimizun,Monotedia Yamauchi,3,3
Vegalia Senda,Kashirama,1,2
G-Olympus,Yamagala,1,0
Koban,Nagomi,0,1
Shonara,Savan Taurus,4,2
Kofox,Urawind,0,2
Yomoyama Mystic,Hirostar,1,2
Nagomi,Shonara,3,0
Monotedia Yamauchi,Yomoyama Mystic,1,0
Urawind,G-Olympus,1,0
Kashirama,Kofox,0,1
FC Torii,Kawasari Foresta,2,1
Hirostar,Vegalia Senda,2,0
Kashiwave,Shimizun,0,0
Yamagala,Ablihex Nimbus,1,2
Savan Taurus,Koban,1,1
Ablihex Nimbus,Monotedia Yamauchi,1,1
Shimizun,Savan Taurus,2,2
Yamagala,Kofox,2,0
Kawasari Foresta,Hirostar,0,1
Yomoyama Mystic,Nagomi,2,0
Shonara,Koban,1,1
Vegalia Senda,FC Torii,2,3
Nagomi,Kawasari Foresta,0,1
Kofox,Shonara,0,1
Monotedia Yamauchi,Kashiwave,3,0
Yomoyama Mystic,Ablihex Nimbus,1,0
Savan Taurus,Yamagala,1,1
Vegalia Senda,Urawind,4,4
FC Torii,Kashirama,0,1
Koban,Shimizun,1,2
Hirostar,G-Olympus,0,1
Kashiwave,Shonara,0,0
Ablihex Nimbus,Vegalia Senda,0,3
Kofox,Monotedia Yamauchi,2,0
Yamagala,Koban,2,0
Kashirama,Hirostar,2,2
Shimizun,Yomoyama Mystic,1,2
Urawind,FC Torii,4,1
G-Olympus,Kawasari Foresta,1,1
Nagomi,Savan Taurus,0,1
Monotedia Yamauchi,Koban,0,1
Shonara,Shimizun,4,0
Vegalia Senda,Kofox,0,1
FC Torii,Nagomi,0,1
Hirostar,Ablihex Nimbus,4,2
Kawasari Foresta,Savan Taurus,3,2
Urawind,Kashirama,2,1
Yamagala,Yomoyama Mystic,0,3
Ablihex Nimbus,Kofox,0,2
Nagomi,Monotedia Yamauchi,0,0
Koban,Vegalia Senda,0,1
FC Torii,Kashiwave,2,1
Kashirama,Yamagala,3,1
Savan Taurus,Urawind,1,6
Shimizun,Kawasari Foresta,5,2
Shonara,Hirostar,0,0
Yomoyama Mystic,G-Olympus,1,1
G-Olympus,Kashirama,2,0
Kashiwave,Urawind,3,3
Ablihex Nimbus,Nagomi,1,1
G-Olympus,Koban,0,0
Kashiwave,Hirostar,2,3
Kawasari Foresta,Shonara,2,1
Kofox,Yomoyama Mystic,1,1
Monotedia Yamauchi,Kashirama,2,2
Urawind,Shimizun,1,0
Vegalia Senda,Savan Taurus,5,0
Yamagala,FC Torii,1,2
G-Olympus,Vegalia Senda,1,1
Hirostar,Monotedia Yamauchi,5,1
Kawasari Foresta,Yamagala,2,0
Koban,Urawind,1,1
Nagomi,Kashiwave,1,0
Savan Taurus,FC Torii,1,2
Shimizun,Kofox,0,2
Shonara,Ablihex Nimbus,1,3
Yomoyama Mystic,Kashirama,0,3
Kashiwave,G-Olympus,1,0
FC Torii,Shimizun,3,2
Kashirama,Kawasari Foresta,2,3
Koban,Yomoyama Mystic,1,1
Kofox,Kashiwave,1,1
Monotedia Yamauchi,G-Olympus,1,3
Savan Taurus,Hirostar,2,2
Urawind,Ablihex Nimbus,5,2
Vegalia Senda,Nagomi,2,0
Yamagala,Shonara,2,3
Shonara,Nagomi,2,1
Vegalia Senda,Hirostar,3,4
Kawasari Foresta,FC Torii,2,0
Ablihex Nimbus,Kashirama,2,3
G-Olympus,Kofox,2,1
Kashiwave,Savan Taurus,2,3
Shimizun,Koban,0,5
Yamagala,Urawind,1,2
Yomoyama Mystic,Monotedia Yamauchi,1,1
Savan Taurus,Kawasari Foresta,1,1
FC Torii,Ablihex Nimbus,3,1
Hirostar,Yamagala,6,0
Kashirama,Shimizun,0,0
Koban,Shonara,1,1
Kofox,Vegalia Senda,0,0
Monotedia Yamauchi,Urawind,0,0
Nagomi,G-Olympus,3,2
Yomoyama Mystic,Kashiwave,0,1
Yamagala,Kashirama,2,0
Shimizun,Nagomi,2,2
Ablihex Nimbus,Savan Taurus,1,0
FC Torii,Monotedia Yamauchi,0,0
G-Olympus,Yomoyama Mystic,2,2
Kashiwave,Kawasari Foresta,1,0
Shonara,Kofox,0,2
Urawind,Hirostar,1,2
Vegalia Senda,Koban,1,2
G-Olympus,Savan Taurus,1,1
Kofox,Yamagala,0,1
Kashirama,FC Torii,2,1
Hirostar,Yomoyama Mystic,2,0
Kawasari Foresta,Shimizun,3,2
Koban,G-Olympus,1,2
Nagomi,Urawind,2,1
Savan Taurus,Shonara,1,1
Vegalia Senda,Kashiwave,0,1
Monotedia Yamauchi,Ablihex Nimbus,1,3
Ablihex Nimbus,G-Olympus,2,2
FC Torii,Vegalia Senda,3,1
Koban,Hirostar,0,4
Monotedia Yamauchi,Nagomi,0,3
Savan Taurus,Kashirama,0,3
Shonara,Kashiwave,3,0
Urawind,Kofox,1,1
Yamagala,Kawasari Foresta,1,3
Yomoyama Mystic,Shimizun,1,2
Ablihex Nimbus,Urawind,1,2
Hirostar,Kashirama,0,1
Kashiwave,Koban,2,0
Kawasari Foresta,Monotedia Yamauchi,0,0
Kofox,FC Torii,0,1
Nagomi,Yomoyama Mystic,0,3
Shimizun,Shonara,1,2
Vegalia Senda,Yamagala,3,1
FC Torii,G-Olympus,2,1
Koban,Kawasari Foresta,2,0
Monotedia Yamauchi,Savan Taurus,1,3
Shimizun,Ablihex Nimbus,1,1
Urawind,Shonara,1,0
Yamagala,Nagomi,0,1
Yomoyama Mystic,Kofox,2,0
Hirostar,Kashiwave,0,3
Kashirama,Vegalia Senda,3,2
Kashiwave,Yamagala,2,0
Kofox,Koban,1,0
Kashirama,Monotedia Yamauchi,3,0
Urawind,Vegalia Senda,3,1
Ablihex Nimbus,Hirostar,0,2
G-Olympus,Shimizun,1,0
Nagomi,FC Torii,0,0
Savan Taurus,Yomoyama Mystic,1,2
Shonara,Kawasari Foresta,2,1
Shimizun,FC Torii,1,1
Yomoyama Mystic,Urawind,4,0
Hirostar,Nagomi,5,2
Kawasari Foresta,Kashirama,1,3
Koban,Savan Taurus,7,1
Vegalia Senda,Ablihex Nimbus,0,1
G-Olympus,Shonara,1,0
Kashiwave,Kofox,2,2
Urawind,Kashiwave,1,0
Kashirama,G-Olympus,1,2
Kofox,Kawasari Foresta,1,3
Nagomi,Vegalia Senda,0,1
Ablihex Nimbus,Yomoyama Mystic,1,1
FC Torii,Koban,3,0
Monotedia Yamauchi,Hirostar,1,3
Savan Taurus,Shimizun,0,0
Shonara,Yamagala,1,1
Kofox,Kashirama,0,1
Vegalia Senda,Shonara,1,1
Hirostar,Savan Taurus,0,0
Kawasari Foresta,Nagomi,6,1
Koban,Ablihex Nimbus,1,2
Shimizun,Urawind,1,4
Yomoyama Mystic,FC Torii,1,0
Yamagala,G-Olympus,1,1
Kashiwave,Monotedia Yamauchi,0,0
Yamagala,Monotedia Yamauchi,2,2
Monotedia Yamauchi,Vegalia Senda,1,1
Kashirama,Urawind,1,2
Savan Taurus,Kofox,0,1
Shimizun,Hirostar,1,5
Shonara,Yomoyama Mystic,1,1
G-Olympus,Kashiwave,3,1
FC Torii,Yamagala,1,0
Ablihex Nimbus,Kawasari Foresta,1,2
Nagomi,Koban,2,0
Vegalia Senda,Yomoyama Mystic,1,3
Koban,Kashirama,0,2
Yamagala,Shimizun,1,0
Shonara,Monotedia Yamauchi,0,1
Urawind,Savan Taurus,1,1
Kofox,Ablihex Nimbus,0,0
Hirostar,FC Torii,0,1
Kashiwave,Nagomi,3,1
Kawasari Foresta,G-Olympus,5,3
FC Torii,Shonara,1,2
G-Olympus,Urawind,2,1
Hirostar,Kawasari Foresta,2,1
Kashirama,Kashiwave,3,2
Shimizun,Vegalia Senda,0,1
Yomoyama Mystic,Koban,2,1
Ablihex Nimbus,Yamagala,2,0
Savan Taurus,Nagomi,0,0
Monotedia Yamauchi,Kofox,0,1
FC Torii,Urawind,3,4
Kawasari Foresta,Yomoyama Mystic,0,1
Koban,Monotedia Yamauchi,3,1
Kofox,Hirostar,0,2
Nagomi,Ablihex Nimbus,4,2
Shimizun,Kashiwave,0,3
Shonara,Kashirama,2,1
Yamagala,Savan Taurus,1,2
Vegalia Senda,G-Olympus,1,3
Ablihex Nimbus,Shonara,0,2
G-Olympus,Hirostar,0,2
Kashirama,Yomoyama Mystic,2,0
Kashiwave,FC Torii,0,1
Koban,Yamagala,2,1
Monotedia Yamauchi,Shimizun,1,2
Nagomi,Kofox,4,2
Savan Taurus,Vegalia Senda,1,0
Urawind,Kawasari Foresta,1,1
FC Torii,Savan Taurus,0,0
G-Olympus,Monotedia Yamauchi,4,0
Hirostar,Shonara,5,0
Kashirama,Nagomi,1,0
Kashiwave,Ablihex Nimbus,1,1
Kawasari Foresta,Vegalia Senda,1,0
Kofox,Shimizun,2,2
Urawind,Koban,5,2
Yomoyama Mystic,Yamagala,0,0
Urawind,G-Olympus,1,1
G-Olympus,Hirostar,2,3
Hirostar,G-Olympus,1,1
Hirostar,Kawasari Foresta,0,1
Iwana,Nagomi,0,1
Savan Taurus,Alisva Futura,2,1
Kashiwave,Urawind,1,2
Koban,Kofox,0,2
Shonara,Ablihex Nimbus,1,2
Yomoyama Mystic,Vegalia Senda,0,1
FC Torii,Obiya Arcadia,0,1
G-Olympus,Kashirama,0,1
Kashirama,Savan Taurus,1,0
Kawasari Foresta,Shonara,4,4
Obiya Arcadia,Kashiwave,2,0
Koban,Ablihex Nimbus,6,3
Alisva Futura,Yomoyama Mystic,1,1
Kofox,G-Olympus,0,1
Urawind,Iwana,1,2
Nagomi,Hirostar,1,1
Vegalia Senda,FC Torii,1,2
FC Torii,Koban,1,0
G-Olympus,Obiya Arcadia,2,1
Hirostar,Shonara,2,2
Urawind,Alisva Futura,2,0
Vegalia Senda,Kashirama,1,0
Ablihex Nimbus,Yomoyama Mystic,1,2
Savan Taurus,Kofox,1,1
Kashiwave,Iwana,2,2
Kawasari Foresta,Nagomi,3,2
Yomoyama Mystic,Savan Taurus,2,1
Ablihex Nimbus,Kashiwave,2,2
Kofox,Kawasari Foresta,0,4
Nagomi,Vegalia Senda,2,1
Kashirama,FC Torii,2,0
Koban,G-Olympus,2,1
Iwana,Alisva Futura,2,2
Obiya Arcadia,Hirostar,1,5
Shonara,Urawind,0,2
Hirostar,Vegalia Senda,3,0
Urawind,Kofox,2,1
Alisva Futura,Ablihex Nimbus,0,1
Kawasari Foresta,Kashirama,1,1
Savan Taurus,Kashiwave,1,1
FC Torii,Nagomi,3,2
Obiya Arcadia,Iwana,1,1
Shonara,Koban,1,2
G-Olympus,Yomoyama Mystic,1,2
Koban,Alisva Futura,0,0
Nagomi,Obiya Arcadia,1,2
Yomoyama Mystic,Urawind,0,0
Kofox,Shonara,3,1
Vegalia Senda,G-Olympus,1,3
Kawasari Foresta,Savan Taurus,1,0
Ablihex Nimbus,Iwana,1,2
Kashirama,Hirostar,4,1
Kashiwave,FC Torii,1,0
G-Olympus,Kashiwave,0,1
Hirostar,Ablihex Nimbus,1,0
Urawind,Vegalia Senda,3,1
FC Torii,Kawasari Foresta,2,4
Obiya Arcadia,Kofox,1,1
Shonara,Kashirama,0,3
Iwana,Yomoyama Mystic,1,5
Alisva Futura,G-Olympus,0,1
Koban,Vegalia Senda,2,2
Nagomi,Ablihex Nimbus,2,1
Kofox,FC Torii,1,1
Yomoyama Mystic,Hirostar,1,2
Kashirama,Kashiwave,0,2
Kawasari Foresta,Urawind,0,1
Savan Taurus,Iwana,0,1
Shonara,Obiya Arcadia,0,1
G-Olympus,Kawasari Foresta,0,1
Iwana,Hirostar,1,0
Urawind,Nagomi,4,1
FC Torii,Alisva Futura,0,1
Vegalia Senda,Savan Taurus,0,2
Kashiwave,Koban,2,0
Obiya Arcadia,Kashirama,0,0
Ablihex Nimbus,Kofox,2,2
Yomoyama Mystic,Shonara,0,1
Savan Taurus,Shonara,0,1
Alisva Futura,Obiya Arcadia,1,2
Kawasari Foresta,Vegalia Senda,1,1
Nagomi,Yomoyama Mystic,3,1
Kashirama,Ablihex Nimbus,2,1
Koban,Iwana,4,1
Kofox,Kashiwave,0,2
Kashiwave,Kawasari Foresta,1,3
Nagomi,Koban,0,1
Yomoyama Mystic,Kofox,2,2
Vegalia Senda,Alisva Futura,2,0
Ablihex Nimbus,G-Olympus,0,0
Hirostar,Savan Taurus,3,0
Obiya Arcadia,Urawind,0,1
Shonara,FC Torii,0,1
Iwana,Kashirama,1,1
FC Torii,Savan Taurus,0,0
G-Olympus,Iwana,2,1
Hirostar,Kashiwave,0,0
Alisva Futura,Shonara,1,0
Urawind,Ablihex Nimbus,0,0
Vegalia Senda,Obiya Arcadia,0,1
Kawasari Foresta,Koban,3,1
Kofox,Nagomi,2,2
Kashirama,Yomoyama Mystic,1,0
Iwana,Kofox,3,1
Kashiwave,Alisva Futura,3,2
Savan Taurus,Obiya Arcadia,0,1
Hirostar,G-Olympus,1,3
Koban,Yomoyama Mystic,0,1
Shonara,Vegalia Senda,0,1
Nagomi,Kashirama,2,3
Ablihex Nimbus,Kawasari Foresta,0,0
Yomoyama Mystic,Kashiwave,3,0
Alisva Futura,Hirostar,0,4
Vegalia Senda,Ablihex Nimbus,4,2
Kashirama,Kofox,4,0
Obiya Arcadia,Koban,2,2
Savan Taurus,Urawind,0,0
FC Torii,G-Olympus,1,0
Shonara,Nagomi,2,1
Kawasari Foresta,Iwana,1,0
Alisva Futura,Nagomi,0,0
Savan Taurus,Koban,0,0
Ablihex Nimbus,Obiya Arcadia,1,0
G-Olympus,Shonara,3,3
Iwana,FC Torii,0,0
Yomoyama Mystic,Kawasari Foresta,0,2
Kofox,Alisva Futura,1,0
Koban,Hirostar,1,1
Kashiwave,Vegalia Senda,0,2
Nagomi,Savan Taurus,0,1
Urawind,Kashirama,0,2
FC Torii,Hirostar,1,1
G-Olympus,Urawind,1,0
Alisva Futura,Kawasari Foresta,2,2
FC Torii,Ablihex Nimbus,1,1
Hirostar,Urawind,4,2
Koban,Kashirama,1,2
Nagomi,Kashiwave,1,1
Obiya Arcadia,Yomoyama Mystic,1,1
Savan Taurus,G-Olympus,2,1
Shonara,Iwana,1,0
Vegalia Senda,Kofox,2,1
Urawind,FC Torii,3,2
Ablihex Nimbus,Savan Taurus,1,0
G-Olympus,Nagomi,3,3
Iwana,Vegalia Senda,3,0
Kashirama,Alisva Futura,2,0
Kashiwave,Shonara,1,1
Kawasari Foresta,Obiya Arcadia,2,0
Kofox,Hirostar,0,3
Urawind,Koban,3,1
Yomoyama Mystic,FC Torii,0,1
Kofox,Koban,0,3
Kashirama,G-Olympus,1,3
Alisva Futura,Urawind,1,2
Hirostar,Iwana,3,0
Kashiwave,Ablihex Nimbus,1,0
Obiya Arcadia,Nagomi,1,0
Savan Taurus,FC Torii,3,2
Shonara,Yomoyama Mystic,0,3
Vegalia Senda,Kawasari Foresta,0,3
Nagomi,Kawasari Foresta,0,3
G-Olympus,Vegalia Senda,3,1
Ablihex Nimbus,Shonara,0,1
FC Torii,Kofox,1,0
Hirostar,Kashirama,2,4
Iwana,Obiya Arcadia,1,1
Koban,Savan Taurus,2,2
Urawind,Kashiwave,2,0
Yomoyama Mystic,Alisva Futura,3,0
Alisva Futura,FC Torii,2,1
Kashirama,Nagomi,3,0
Kashiwave,Hirostar,3,3
Kawasari Foresta,Ablihex Nimbus,3,2
Kofox,Iwana,0,0
Obiya Arcadia,G-Olympus,0,0
Shonara,Savan Taurus,0,2
Vegalia Senda,Urawind,0,1
Yomoyama Mystic,Koban,3,2
Koban,Shonara,2,0
Kofox,Kashirama,3,3
Iwana,Kawasari Foresta,1,1
Ablihex Nimbus,Vegalia Senda,1,2
FC Torii,Kashiwave,0,1
G-Olympus,Alisva Futura,0,0
Hirostar,Yomoyama Mystic,2,2
Savan Taurus,Nagomi,0,0
Urawind,Obiya Arcadia,2,2
Nagomi,Kofox,1,3
Kashirama,Urawind,1,2
Kawasari Foresta,FC Torii,1,0
Alisva Futura,Savan Taurus,2,3
Hirostar,Koban,2,0
Kashiwave,G-Olympus,3,2
Obiya Arcadia,Ablihex Nimbus,1,2
Vegalia Senda,Shonara,1,0
Yomoyama Mystic,Iwana,1,1
Kofox,Urawind,0,2
Alisva Futura,Vegalia Senda,1,1
Ablihex Nimbus,FC Torii,0,1
G-Olympus,Hirostar,1,0
Iwana,Kashiwave,1,2
Koban,Obiya Arcadia,1,0
Savan Taurus,Kashirama,1,0
Shonara,Kawasari Foresta,2,3
Yomoyama Mystic,Nagomi,0,0
Kashirama,Vegalia Senda,0,1
Urawind,Shonara,4,1
Ablihex Nimbus,Koban,1,0
FC Torii,Iwana,3,2
G-Olympus,Savan Taurus,2,1
Hirostar,Nagomi,2,0
Kashiwave,Yomoyama Mystic,1,2
Kawasari Foresta,Kofox,4,0
Obiya Arcadia,Alisva Futura,1,0
Kofox,Ablihex Nimbus,1,0
Nagomi,Urawind,0,2
Shonara,Hirostar,1,2
Iwana,G-Olympus,0,2
Koban,FC Torii,4,1
Savan Taurus,Kawasari Foresta,1,0
Vegalia Senda,Kashiwave,4,2
Yomoyama Mystic,Obiya Arcadia,1,1
Alisva Futura,Kashirama,1,2
Kashirama,Shonara,1,0
Obiya Arcadia,Vegalia Senda,2,1
Ablihex Nimbus,Alisva Futura,3,0
FC Torii,Yomoyama Mystic,1,0
G-Olympus,Koban,0,1
Hirostar,Kofox,0,1
Iwana,Savan Taurus,1,1
Kashiwave,Nagomi,3,1
Urawind,Kawasari Foresta,1,2
Alisva Futura,Iwana,2,3
Kofox,Obiya Arcadia,2,2
Nagomi,FC Torii,1,1
Shonara,G-Olympus,1,2
Kawasari Foresta,Kashiwave,2,5
Koban,Urawind,2,1
Savan Taurus,Ablihex Nimbus,1,0
Vegalia Senda,Hirostar,0,2
Yomoyama Mystic,Kashirama,2,2
Iwana,Koban,3,4
Vegalia Senda,Yomoyama Mystic,0,1
Ablihex Nimbus,Nagomi,0,1
FC Torii,Shonara,3,0
G-Olympus,Kofox,2,1
Hirostar,Obiya Arcadia,0,1
Kashiwave,Kashirama,2,0
Kawasari Foresta,Alisva Futura,3,1
Urawind,Savan Taurus,2,0
Yomoyama Mystic,Ablihex Nimbus,3,1
Kofox,Vegalia Senda,1,1
Obiya Arcadia,Kawasari Foresta,3,2
Kashirama,Iwana,3,0
FC Torii,Urawind,1,3
Koban,Kashiwave,1,1
Savan Taurus,Hirostar,2,3
Shonara,Alisva Futura,0,2
Nagomi,G-Olympus,1,3
Alisva Futura,Koban,1,4
Vegalia Senda,Nagomi,1,2
Iwana,Shonara,0,0
Urawind,Hirostar,3,0
G-Olympus,FC Torii,3,3
Ablihex Nimbus,Kashirama,0,2
Obiya Arcadia,Savan Taurus,1,1
Kashiwave,Kofox,1,0
Kawasari Foresta,Yomoyama Mystic,3,2
Kashirama,Obiya Arcadia,1,3
Nagomi,Alisva Futura,5,0
Urawind,G-Olympus,4,0
Iwana,Ablihex Nimbus,1,2
Kofox,Yomoyama Mystic,0,4
Savan Taurus,Vegalia Senda,2,3
Hirostar,FC Torii,0,1
Koban,Kawasari Foresta,3,0
Shonara,Kashiwave,0,0
Ablihex Nimbus,Urawind,1,2
Alisva Futura,Kofox,1,2
FC Torii,Kashirama,2,1
Kashiwave,Savan Taurus,2,3
Kawasari Foresta,Hirostar,2,0
Nagomi,Iwana,1,1
Obiya Arcadia,Shonara,3,2
Vegalia Senda,Koban,3,0
Yomoyama Mystic,G-Olympus,2,2
FC Torii,Vegalia Senda,1,0
G-Olympus,Ablihex Nimbus,3,1
Hirostar,Alisva Futura,4,1
Iwana,Urawind,0,1
Kashirama,Kawasari Foresta,0,1
Kashiwave,Obiya Arcadia,1,2
Koban,Nagomi,3,0
Savan Taurus,Yomoyama Mystic,2,2
Shonara,Kofox,1,0
Ablihex Nimbus,Hirostar,0,1
Alisva Futura,Kashiwave,0,4
Kashirama,Koban,0,1
Kawasari Foresta,G-Olympus,2,3
Kofox,Savan Taurus,0,1
Nagomi,Shonara,1,3
Obiya Arcadia,FC Torii,0,1
Urawind,Yomoyama Mystic,1,1
Vegalia Senda,Iwana,0,1
