Order,area,price,OverallQual,OverallCond,YearBuilt,BsmtFinSF1,X1stFlrSF,X2ndFlrSF
642,1929,226000,7,5,2001,738,1057,872
643,2704,345000,8,7,1972,1410,2000,704
644,1620,152000,5,5,1969,493,780,840
645,1766,370878,9,5,2009,1121,1766,0
646,981,143250,6,5,1971,282,981,0
647,1048,98300,5,5,1950,0,1048,0
648,1094,155000,6,5,1953,500,1094,0
649,1839,155000,6,5,1966,0,1051,788
650,630,84500,4,6,1970,131,630,0
651,1665,205950,7,6,2007,0,822,843
652,1510,108000,4,5,1940,0,755,755
653,1716,191000,7,5,1996,0,909,807
654,1469,135000,6,7,1906,0,756,713
655,2113,350000,8,6,1995,1696,2113,0
656,1092,88000,6,5,1971,0,525,567
657,1053,145500,5,7,1959,806,1053,0
658,1502,149000,7,6,1931,0,851,651
659,1458,97500,6,5,1948,0,912,546
660,1486,167000,5,7,1964,637,1486,0
661,1935,197900,7,7,1976,0,1142,793
662,2448,402000,8,7,1994,1361,1686,762
663,1392,110000,6,3,1968,0,1392,0
664,1181,137500,4,5,1972,920,1181,0
665,2097,423000,8,5,2005,1721,2097,0
666,1936,230500,8,5,2000,0,1454,482
667,2380,129000,6,5,1965,187,1465,915
668,1679,193500,6,5,1994,1138,1679,0
669,1437,168000,5,6,1956,988,1437,0
670,1180,137500,4,5,1922,0,1180,0
671,1476,173500,6,5,2005,193,738,738
672,1369,103600,6,6,1925,551,697,672
673,1208,165000,6,6,1977,767,1208,0
674,1839,257500,6,7,1957,1186,1839,0
675,1136,140000,6,6,1965,892,1136,0
676,1441,148500,6,6,1978,311,855,586
677,1774,87000,4,2,1900,0,1095,679
678,792,109500,5,8,1924,0,792,0
679,2046,372500,8,5,2008,0,2046,0
680,988,128500,5,5,1961,827,988,0
681,923,143000,6,5,1980,543,923,0
682,1520,159434,5,5,1932,182,848,672
683,1291,173000,6,5,1996,1003,1291,0
684,1668,285000,9,5,2002,1059,1668,0
685,1839,221000,7,5,1998,0,1195,644
686,2090,207500,7,5,1984,828,1190,900
687,1761,227875,7,6,2007,0,874,887
688,1102,148800,7,5,2004,239,551,551
689,1419,392000,8,6,2007,945,1419,0
690,1362,194700,6,5,2005,20,1362,0
691,848,141000,6,5,2004,697,848,0
692,4316,755000,10,6,1994,1455,2444,1872
693,2519,335000,7,5,1989,965,1238,1281
694,1073,108480,5,6,1921,0,1073,0
695,1539,141500,5,6,1936,0,1067,472
696,1137,176000,6,6,1987,980,1137,0
697,616,89000,5,7,1921,616,616,0
698,1148,123500,5,7,1952,210,1148,0
699,894,138500,5,8,1965,553,894,0
700,1391,196000,7,5,2004,16,1391,0
701,1800,312500,8,5,2002,1274,1800,0
702,1164,140000,7,5,1969,0,1164,0
703,2576,361919,8,5,2006,0,1264,1312
704,1812,140000,5,9,1900,0,1032,780
705,1484,213000,7,5,2004,712,1484,0
706,1092,55000,4,5,1930,0,372,720
707,1824,302000,7,5,1971,1219,1824,0
708,1324,254000,8,5,2006,863,1324,0
709,1456,179540,7,5,2007,0,728,728
710,904,109900,5,7,1966,0,904,0
711,729,52000,3,6,1935,0,729,0
712,1178,102776,4,7,1900,0,859,319
713,1228,189000,8,5,1988,767,1228,0
714,960,129000,4,5,1970,789,960,0
715,1479,130500,6,8,1976,533,725,754
716,1350,165000,6,5,1974,0,1350,0
717,2554,159500,7,8,1890,0,1576,978
718,1178,157000,5,6,1973,1084,1178,0
719,2418,341000,7,5,1993,1173,1325,1093
720,971,128500,5,6,1969,523,971,0
721,1742,275000,8,5,1985,1148,1742,0
722,848,143000,6,5,2004,662,848,0
723,864,124500,4,7,1970,191,864,0
724,1470,135000,4,6,1954,0,997,473
725,1698,320000,9,5,2007,1234,1698,0
726,864,120500,4,6,1970,375,864,0
727,1680,222000,6,9,1988,808,1680,0
728,1232,194500,7,5,2007,724,1232,0
729,1776,110000,5,5,1958,0,1776,0
730,1208,103000,4,5,1925,152,848,0
731,1616,236500,8,5,1995,1180,1616,0
732,1146,187500,7,5,2003,786,1146,0
733,2031,222500,7,5,1998,252,1153,878
734,1144,131400,5,6,1961,594,1144,0
735,948,108000,5,5,1968,0,948,0
736,1768,163000,7,7,1914,390,880,888
737,1040,93500,3,4,1950,0,1040,0
738,1801,239900,8,5,2005,0,901,900
739,1200,179000,5,5,1987,1200,1200,0
740,1728,190000,7,5,2004,0,864,864
741,1432,132000,5,7,1910,0,768,664
742,912,142000,6,8,1961,832,912,0
743,1349,179000,7,5,2000,0,1349,0
744,1464,175000,5,6,1963,444,1464,0
745,1337,180000,8,5,1993,733,1337,0
746,2715,299800,8,9,1976,575,1175,1540
747,2256,236000,7,5,2000,300,980,1276
748,2640,265979,7,7,1880,0,1320,1320
749,1720,260400,7,5,1996,919,1720,0
750,1529,98000,4,3,1945,0,1088,441
751,1140,96500,4,7,1910,0,792,348
752,1320,162000,7,5,2003,0,660,660
753,1494,217000,6,5,1997,1200,1494,0
754,2098,275500,8,5,2005,0,1038,1060
755,1026,156000,6,8,1969,439,1026,0
756,1471,172500,6,5,1999,381,742,729
757,1768,212000,8,5,2007,20,866,902
758,1386,158900,6,5,1978,438,672,714
759,1501,179400,7,5,1999,549,757,744
760,2531,290000,8,5,1995,56,1328,1203
761,864,127500,6,6,1959,612,864,0
762,1301,100000,5,5,1924,405,1301,0
763,1547,215200,7,5,2009,24,764,783
764,2365,337000,8,5,1999,1163,1268,1097
765,1494,270000,8,5,1995,437,1494,0
766,1506,264132,9,5,2008,0,1506,0
767,1714,196500,7,5,1988,394,980,734
768,1750,160000,6,7,1940,660,983,767
769,1836,216837,7,5,2004,24,1836,0
770,3279,538000,8,5,2003,1416,1690,1589
771,858,134900,5,5,1982,685,858,0
772,1220,102000,4,5,1951,836,1220,0
773,1117,107000,6,5,1976,422,1117,0
774,912,114500,5,5,1958,456,912,0
775,1973,395000,8,5,2006,0,1973,0
776,1204,162000,6,5,1998,866,1204,0
777,1614,221500,7,5,2005,20,1614,0
778,894,142500,5,5,1974,762,894,0
779,2020,144000,5,5,1977,0,2020,0
780,1004,135000,6,5,1977,975,1004,0
781,1253,176000,7,5,1995,0,1253,0
782,1603,175900,6,5,1992,387,810,793
783,1430,187100,7,5,2001,0,1430,0
784,1110,165500,5,6,1978,1097,1110,0
785,1484,128000,6,6,1914,0,742,742
786,1342,161500,6,5,1967,251,1342,0
787,1652,139000,5,6,1915,686,966,686
788,2084,233000,7,5,2004,656,956,1128
789,901,107900,4,7,1954,0,901,0
790,2087,187500,6,8,1966,568,976,1111
791,1145,160200,7,5,2005,16,1145,0
792,1062,146800,6,5,1976,539,1062,0
793,2013,269790,7,5,1996,862,1127,886
794,1496,225000,8,5,2007,0,1496,0
795,1895,194500,7,5,1994,0,1086,809
796,1564,171000,6,6,1980,0,888,676
797,1285,143500,6,5,1977,0,1285,0
798,773,110000,5,5,1953,570,773,0
799,3140,485000,9,5,2008,0,1966,1174
800,1768,175000,5,7,1937,569,981,787
801,1688,200000,6,5,1997,462,616,1072
802,1196,109900,4,7,1916,197,1196,0
803,1456,189000,7,5,2005,648,728,728
804,2822,582933,9,5,2008,0,1734,1088
805,1128,118000,5,5,1954,812,1128,0
806,1428,227680,7,5,2008,0,1428,0
807,980,135500,5,5,1967,400,980,0
808,1576,223500,5,6,1923,1309,1072,504
809,1086,159950,5,5,1966,516,1086,0
810,2138,106000,5,5,1898,0,1075,1063
811,1309,181000,6,6,1974,663,1309,0
812,848,144500,6,5,2004,662,848,0
813,1044,55993,5,5,1952,0,1044,0
814,1442,157900,6,6,1958,608,1442,0
815,1250,116000,5,7,1918,0,686,564
816,1661,224900,7,5,1998,0,1661,0
817,1008,137000,5,6,1954,486,1008,0
818,1689,271000,8,5,2002,1218,1689,0
819,1052,155000,6,7,1971,504,1052,0
820,1358,224000,7,5,2009,733,1358,0
821,1640,183000,7,5,2003,0,798,842
822,936,93000,4,4,1953,0,936,0
823,1733,225000,7,5,2003,0,847,886
824,1489,139500,6,7,1940,0,944,545
825,1489,232600,8,5,2006,0,1489,0
826,2084,385000,10,5,2007,1636,2084,0
827,784,109500,5,6,1924,784,784,0
828,1434,189000,7,5,2001,20,1434,0
829,2126,185000,5,5,1967,249,1160,966
830,1223,147400,7,5,2005,0,520,623
831,1392,166000,6,5,1957,1040,1392,0
832,1200,151000,7,5,2005,0,520,600
833,1829,237000,7,6,2003,483,941,888
834,1516,167000,6,6,1964,196,1516,0
835,1144,139950,5,6,1961,572,1144,0
836,1067,128000,4,7,1950,442,1067,0
837,1559,153500,5,6,1948,338,1559,0
838,987,100000,6,5,1973,330,483,504
839,1099,144000,5,6,1995,0,1099,0
840,1200,130500,5,6,1946,352,768,432
841,1482,140000,6,8,1925,156,810,672
842,1539,157500,5,8,1904,0,958,581
843,1165,174900,6,7,1966,312,1165,0
844,1800,141000,5,4,1961,0,1800,0
845,1416,153900,5,8,1915,0,876,540
846,1701,171000,5,5,1975,1390,1701,0
847,1775,213000,7,5,1993,513,1006,769
848,864,133500,5,6,1972,460,864,0
849,2358,240000,6,8,1908,0,1307,1051
850,1855,187000,6,7,1976,0,1094,761
851,848,131500,6,5,2003,659,848,0
852,1456,215000,8,5,2003,0,1456,0
853,1646,164000,7,5,1941,364,918,728
854,1445,158000,6,6,1964,564,1445,0
855,1779,170000,5,4,1955,306,1779,0
856,1040,127000,5,8,1962,659,1040,0
857,1026,147000,6,6,1978,505,1026,0
858,1481,174000,6,5,1994,0,702,779
859,1370,152000,7,5,1976,0,1370,0
860,2654,250000,6,7,1968,619,1512,1142
861,1426,189950,7,8,1918,0,912,514
862,1039,131500,5,4,1965,841,1039,0
863,1097,152000,6,5,1984,338,1097,0
864,1148,132500,5,5,1959,1148,1148,0
865,1372,250580,7,5,2007,0,1372,0
866,1002,148500,5,6,1970,828,1002,0
867,1646,248900,8,5,2006,0,1646,0
868,1120,129000,4,5,1961,932,1120,0
869,2320,169000,5,6,1948,0,1547,720
870,1949,236000,7,5,1993,750,1062,887
871,894,109500,5,5,1962,0,894,0
872,1682,200500,6,5,1998,505,804,878
873,910,116000,5,7,1953,0,910,0
874,1268,133000,5,7,1949,375,1036,0
875,1131,66500,5,6,1941,0,676,455
876,2610,303477,8,5,2007,64,1184,1426
877,1040,132250,4,5,1963,633,1040,0
878,2224,350000,9,5,2004,1170,1462,762
879,1155,148000,5,7,1961,899,1155,0
880,864,136500,5,8,1978,646,864,0
881,1090,157000,5,5,2005,980,1090,0
882,1717,187500,7,5,1990,902,1187,530
883,1593,178000,6,5,1992,0,808,785
884,2230,118500,4,5,1912,0,954,795
885,892,100000,5,5,1967,432,892,0
886,1709,328900,9,5,1999,1238,1709,0
887,1712,145000,5,5,1959,528,1712,0
888,1393,135500,5,7,1955,0,872,521
889,2217,268000,8,6,1970,351,2217,0
890,1505,149500,6,4,1953,1024,1505,0
891,924,122900,5,7,1949,0,672,252
892,1683,172500,6,5,1978,226,918,765
893,1068,154500,6,8,1963,663,1068,0
894,1383,165000,5,5,1954,1064,1383,0
895,1535,118858,5,5,1979,0,1535,0
896,1796,140000,6,5,1963,400,983,813
897,951,106500,4,6,1936,285,951,0
898,2240,142953,5,5,1979,0,1120,1120
899,2364,611657,9,5,2009,2188,2364,0
900,1236,135000,5,7,1961,465,1236,0
901,858,110000,4,6,1971,322,858,0
902,1306,153000,5,7,1957,860,1306,0
903,1509,180000,7,5,2003,0,807,702
904,1670,240000,7,5,2006,0,1670,0
905,902,125500,5,6,1967,599,902,0
906,1063,128000,5,5,1954,354,1063,0
907,1636,255000,8,5,2006,63,1636,0
908,2057,250000,7,7,1936,223,1020,1037
909,902,131000,5,5,1983,301,902,0
910,1484,174000,6,5,2005,0,742,742
911,2274,154300,5,5,1960,443,1105,1169
912,1268,143500,5,7,1977,196,1268,0
913,1015,88000,5,7,1925,489,1015,0
914,2002,145000,5,6,1949,284,1001,1001
915,1224,173733,6,5,2009,294,612,612
916,1092,75000,4,5,1970,0,546,546
917,480,35311,2,3,1949,50,480,0
918,1229,135000,4,6,1956,1059,1229,0
919,2127,238000,7,5,1991,48,912,1215
920,1414,176500,6,8,1958,528,1414,0
921,1721,201000,6,5,1994,814,936,785
922,2200,145900,5,7,1900,1084,1272,928
923,1316,169990,6,5,2005,28,1316,0
924,1617,193000,6,5,1993,165,1617,0
925,1686,207500,6,6,1980,625,1686,0
926,1126,175000,5,6,1977,767,1126,0
927,2374,285000,8,5,2003,0,1234,1140
928,1978,176000,7,5,1968,552,1098,880
929,1788,236500,8,5,2001,0,1788,0
930,2236,222000,7,5,1997,0,993,1243
931,1466,201000,8,5,2007,16,1466,0
932,925,117500,5,6,1965,338,925,0
933,1905,320000,9,5,2006,0,1905,0
934,1500,190000,7,5,2004,20,1500,0
935,2069,242000,7,7,1960,425,2069,0
936,747,79900,4,5,1926,0,747,0
937,1200,184900,7,5,2003,833,1200,0
938,1971,253000,7,5,2005,341,1113,858
939,1962,239799,7,5,2006,464,1391,571
940,2403,244400,7,7,1940,0,1207,1196
941,1728,150900,6,5,1976,936,1728,0
942,2060,214000,7,5,1999,772,1022,1038
943,1440,150000,4,3,1977,1440,1440,0
944,1632,143000,5,4,1967,0,1632,0
945,1344,137500,6,6,1958,111,1344,0
946,1869,124900,5,6,1890,1088,1188,561
947,1144,143000,5,6,1959,748,1144,0
948,1629,270000,8,5,2002,1300,1629,0
949,1776,192500,7,5,2002,0,936,840
950,1381,197500,6,7,1972,982,1381,0
951,864,129000,5,8,1950,398,864,0
952,965,119900,5,5,1965,641,965,0
953,768,133900,5,8,1972,660,768,0
954,1968,172000,5,4,1969,562,1168,800
955,980,127500,6,5,1975,945,980,0
956,1958,145000,6,6,1946,484,979,979
957,1229,124000,6,6,1980,285,561,668
958,1057,132000,5,5,1962,417,1057,0
959,1337,185000,7,5,2003,699,1337,0
960,1416,155000,7,5,1999,604,696,720
961,858,116500,5,7,1958,696,858,0
962,2872,272000,6,7,1977,896,1542,1330
963,1548,155000,6,6,1976,556,804,744
964,1800,239000,9,5,2007,0,1800,0
965,1894,214900,7,5,2002,624,824,1070
966,1484,178900,6,5,2005,0,783,701
967,1308,160000,5,7,1940,428,976,332
968,1098,135000,5,7,1955,902,1098,0
969,968,37900,3,6,1910,0,600,368
970,1095,140000,6,5,1958,513,1095,0
971,1192,135000,4,4,1949,0,720,472
972,1626,173000,7,5,2003,567,764,862
973,918,99500,6,5,1979,0,918,0
974,1428,182000,7,5,2007,0,1428,0
975,2019,167500,7,8,1910,0,1136,883
976,1382,165000,7,5,2000,641,673,709
977,869,85500,4,7,1923,0,869,0
978,1241,199900,7,5,2006,1106,1241,0
979,894,110000,4,5,1954,552,894,0
980,1121,139000,5,6,1963,651,1121,0
981,999,178400,7,9,1961,867,999,0
982,2612,336000,8,5,1998,854,1276,1336
983,1266,159895,7,5,2007,0,1266,0
984,2290,255900,8,5,2002,0,1149,1141
985,1734,126000,5,5,1977,0,1302,432
986,1164,125000,5,5,1950,1040,1164,0
987,1635,117000,6,8,1910,0,1001,634
988,1940,395192,9,5,2009,1646,1940,0
989,2030,195000,6,6,1976,156,1118,912
990,1576,197000,7,5,2006,0,778,798
991,2392,348000,8,5,1997,1074,1407,985
992,1742,168000,8,9,1882,216,916,826
993,1851,187000,6,8,1964,536,1020,831
994,1500,173900,6,5,2005,0,750,750
995,1718,337500,10,5,2006,1172,1718,0
996,1230,121600,4,7,1946,384,774,456
997,1050,136500,5,6,1961,915,1050,0
998,1442,185000,6,6,1970,0,1442,0
999,1077,91000,3,4,1922,0,1077,0
1000,1208,206000,7,5,2006,686,1208,0
1001,944,82000,3,3,1952,0,944,0
1002,691,86000,5,6,1920,0,691,0
1003,1574,232000,8,5,2006,24,1574,0
1004,1680,136905,5,6,1976,0,1680,0
1005,1504,181000,7,5,2005,16,1504,0
1006,985,149900,5,8,1977,595,985,0
1007,1657,163500,6,3,1970,1237,1657,0
1008,1092,88000,4,4,1970,273,546,546
1009,1710,240000,7,5,2004,0,1710,0
1010,1522,102000,5,5,1926,0,1008,0
1011,1271,135000,5,5,1948,0,720,551
1012,1664,100000,5,5,1965,0,1664,0
1013,1502,165000,6,7,1923,0,900,602
1014,1022,85000,5,4,1910,247,1022,0
1015,1082,119200,6,5,1948,336,1082,0
1016,1665,227000,8,6,2001,643,810,855
1017,1504,203000,7,5,1996,690,1504,0
1018,1360,187500,8,5,1984,1036,1360,0
1019,1472,160000,7,5,1991,0,802,670
1020,1506,213490,7,5,2005,16,1506,0
1021,1132,176000,4,5,2005,1024,1132,0
1022,1220,194000,7,5,2006,684,1220,0
1023,1248,87000,5,5,1930,324,912,336
1024,1504,191000,7,5,2005,16,1504,0
1025,2898,287000,8,6,1976,1165,2898,0
1026,882,112500,5,5,1972,138,882,0
1027,1264,167500,5,5,1960,697,1264,0
1028,1646,293077,8,5,2007,1513,1646,0
1029,1376,105000,5,5,1941,368,968,408
1030,1218,118000,6,7,1972,317,672,546
1031,1928,160000,5,8,1916,0,948,980
1032,3082,197000,7,3,1920,523,1687,998
1033,2520,310000,8,7,1993,1012,1352,1168
1034,1654,230000,7,5,2002,986,1654,0
1035,954,119750,5,7,1938,0,954,0
1036,845,84000,4,3,1957,0,845,0
1037,1620,315500,9,5,2007,1022,1620,0
1038,2263,287000,8,5,2001,0,1055,1208
1039,1344,97000,4,6,1970,0,798,546
1040,630,80000,4,4,1970,509,630,0
1041,1803,155000,5,4,1957,168,1803,0
1042,1632,173000,6,8,1966,400,800,832
1043,1306,196000,6,5,2005,900,1306,0
1044,2329,262280,7,5,1990,1085,1532,797
1045,2524,278000,8,5,1981,1104,2524,0
1046,1733,139600,3,5,1955,0,1733,0
1047,2868,556581,9,5,2005,240,1992,876
1048,990,145000,5,5,1994,686,990,0
1049,1771,115000,5,4,1960,0,1771,0
1050,930,84900,4,7,1946,0,930,0
1051,1302,176485,7,5,2007,0,1302,0
1052,1316,200141,7,5,2007,0,1316,0
1053,1977,165000,6,6,1964,442,1127,850
1054,1526,144500,5,6,1957,383,1526,0
1055,1989,255000,8,5,2002,932,1091,898
1056,1523,180000,6,5,1976,644,1523,0
1057,1364,185850,7,5,2005,659,1364,0
1058,1850,248000,7,6,1994,595,979,871
1059,2184,335000,9,5,2008,936,1130,1054
1060,1991,220000,6,7,1932,297,1096,895
1061,1338,213500,8,5,2001,616,1338,0
1062,894,81000,3,4,1935,0,894,0
1063,2337,90000,5,5,1900,0,1422,915
1064,1103,110500,6,6,1925,397,1103,0
1065,1154,154000,5,6,1966,740,1154,0
1066,2260,328000,7,5,1996,1201,1306,954
1067,1571,178000,6,7,1993,0,799,772
1068,1611,167900,6,6,1964,674,798,813
1069,2521,151400,6,4,1973,837,1291,1230
1070,893,135000,5,7,1949,220,893,0
1071,1048,135000,5,5,1956,586,1048,0
1072,1556,154000,6,6,1968,298,829,727
1073,1456,91500,5,3,1948,0,1002,454
1074,1426,159500,6,6,1977,535,698,728
1075,1240,194000,7,5,2006,0,1240,0
1076,1740,219500,7,6,1940,410,960,780
1077,1466,170000,5,8,1936,626,1096,370
1078,1096,138800,5,5,1969,75,1096,0
1079,848,155900,6,5,2004,662,848,0
1080,990,126000,5,5,1994,495,990,0
1081,1258,145000,6,7,1971,656,1258,0
1082,1040,133000,5,5,1963,824,1040,0
1083,1459,192000,7,5,2002,0,1459,0
1084,1251,160000,6,6,1964,553,1251,0
1085,1498,187500,6,5,1995,592,691,807
1086,996,147000,6,6,1992,747,996,0
1087,1092,83500,4,5,1973,334,546,546
1088,1953,252000,8,5,2005,0,1082,871
1089,1709,137500,7,5,2004,0,970,739
1090,1247,197000,8,5,2005,1039,1247,0
1091,1040,92900,3,4,1950,0,1040,0
1092,1252,160000,7,5,1999,510,624,628
1093,1694,136500,6,5,1925,423,1390,304
1094,1200,146000,5,8,1965,661,1200,0
1095,936,129000,5,7,1956,248,936,0
1096,1314,176432,6,5,2006,24,1314,0
1097,1355,127000,6,7,1914,0,773,582
1098,1088,170000,8,5,1986,0,1088,0
1099,1324,128000,4,6,1936,672,757,567
1100,1601,157000,7,5,1978,704,1601,0
1101,438,60000,2,5,1920,290,438,0
1102,950,119500,5,5,1971,412,950,0
1103,1134,135000,5,7,1960,588,1134,0
1104,1194,159500,6,6,1959,655,1194,0
1105,1302,106000,5,5,1970,0,630,672
1106,2622,325000,8,5,1994,1032,1500,1122
1107,1442,179900,7,5,1990,738,1442,0
1108,2021,274725,7,5,2006,0,887,1134
1109,1690,181000,6,5,2000,0,948,742
1110,1836,280000,8,5,2004,1039,1836,0
1111,1658,188000,6,5,1995,219,773,885
1112,1964,205000,7,6,1976,403,1098,866
1113,816,129900,5,7,1957,708,816,0
1114,1008,134500,5,7,1953,643,1008,0
1115,833,117000,5,7,1954,415,833,0
1116,1734,318000,8,5,2007,1004,1734,0
1117,1419,184100,8,5,2002,353,779,640
1118,894,130000,5,7,1967,702,894,0
1119,1601,140000,5,6,1958,0,1021,580
1120,1040,133700,5,5,1959,369,1040,0
1121,1012,118400,6,5,1920,0,1012,0
1122,1552,212900,7,5,2005,24,1552,0
1123,960,112000,4,3,1956,0,960,0
1124,698,118000,5,9,1947,0,698,0
1125,1482,163900,7,5,1992,0,812,670
1126,1005,115000,4,5,1955,0,1005,0
1127,1555,174000,7,5,2007,0,1555,0
1128,1530,259000,7,5,2004,1300,1530,0
1129,1959,215000,7,5,2004,0,847,1112
1130,936,140000,5,5,1980,936,936,0
1131,1981,135000,4,3,1928,622,1328,653
1132,974,93500,5,5,1991,212,974,0
1133,2210,117500,6,4,1880,0,1178,1032
1134,2020,239500,8,5,1995,584,1142,878
1135,1600,169000,6,5,1997,0,916,684
1136,986,102000,6,5,1926,0,986,0
1137,1252,119000,6,5,1950,280,1032,220
1138,1020,94000,5,8,1875,0,780,240
1139,1567,196000,6,5,1977,1567,1567,0
1140,1167,144000,5,5,1920,645,1167,0
1141,952,139000,5,7,1951,852,952,0
1142,1868,197500,5,7,1976,381,1088,780
1143,2828,424870,8,5,2006,1150,1466,1362
1144,1006,80000,5,3,1959,288,1006,0
1145,924,80000,4,4,1941,348,672,252
1146,1576,149000,5,6,1928,0,1042,534
1147,1298,180000,6,5,1985,1258,1298,0
1148,1564,174500,7,7,1941,275,860,704
1149,1111,116900,7,7,1926,0,572,539
1150,1482,143000,7,9,1920,624,832,650
1151,932,124000,6,5,1950,0,932,0
1152,1466,149900,5,4,1959,176,1466,0
1153,1811,230000,6,7,1956,296,1811,0
1154,816,120500,6,8,1930,538,816,0
1155,1820,201800,7,6,1965,454,902,918
1156,1437,218000,5,8,1976,1157,1437,0
1157,1265,179900,5,8,1965,633,1265,0
1158,1314,230000,7,5,2007,904,1314,0
1159,1580,235128,8,5,2007,0,1580,0
1160,1876,185000,6,6,1974,442,943,933
1161,1456,146000,6,5,1978,311,855,601
1162,1640,224000,6,7,1954,728,1640,0
1163,894,129000,5,5,1968,492,894,0
1164,1258,108959,4,4,1969,1198,1258,0
1165,1432,194000,5,7,1978,680,1432,0
1166,1502,233170,7,5,2009,0,1502,0
1167,1694,245350,8,5,2008,0,1694,0
1168,1671,173000,6,5,2000,786,959,712
1169,2108,235000,6,7,1935,626,1236,872
1170,3627,625000,10,5,1995,1387,1831,1796
1171,1118,171000,6,6,1977,522,1118,0
1172,1261,163000,6,6,1958,662,1261,0
1173,1250,171900,7,5,2006,0,625,625
1174,3086,200500,5,6,1946,152,1636,971
1175,2345,239000,6,8,1932,503,1170,1175
1176,2872,285000,8,5,1992,700,2129,743
1177,923,119500,5,5,1984,658,923,0
1178,1224,115000,6,8,1926,468,818,406
1179,1343,154900,5,6,1921,0,820,523
1180,1124,93000,5,5,1954,0,1124,0
1181,2514,250000,7,5,1990,1216,1298,1216
1182,1652,392500,8,5,2008,1480,1652,0
1183,4476,745000,10,5,1996,2096,2411,2065
1184,1130,120000,5,6,1920,821,1130,0
1185,1572,186700,5,4,1963,1159,1572,0
1186,1221,104900,5,7,1924,392,949,272
1187,1699,95000,3,5,1900,440,1014,685
1188,1624,262000,8,5,1994,1456,1624,0
1189,1660,195000,7,5,2002,0,831,829
1190,1804,189000,7,5,1999,0,1028,776
1191,1622,168000,4,4,1961,1159,1622,0
1192,1441,174000,8,5,1999,0,764,677
1193,1472,125000,5,8,1925,0,842,630
1194,1224,165000,6,5,1999,883,1224,0
1195,1352,158000,6,7,1969,371,663,689
1196,1456,176000,6,5,2005,0,728,728
1197,1863,219210,7,5,2006,0,879,984
1198,1690,144000,7,6,1916,0,815,875
1199,1212,178000,7,5,2001,0,1212,0
1200,1382,148000,4,5,1963,547,1382,0
1201,864,116050,4,5,1970,0,864,0
1202,1779,197900,7,5,1998,0,866,913
1203,1348,117000,5,8,1925,0,884,464
1204,1630,213000,7,5,2000,0,1630,0
1205,1074,153500,5,6,1975,788,1074,0
1206,2196,271900,7,7,1990,485,2196,0
1207,1056,107000,4,4,1966,1056,1056,0
1208,1700,200000,6,5,2003,340,1700,0
1209,1283,140000,5,7,1962,504,1283,0
1210,1660,290000,8,5,2006,1220,1660,0
1211,1845,189000,6,5,1992,0,1055,790
1212,1752,164000,8,7,1988,427,1080,672
1213,672,113000,4,6,1941,344,672,0
1214,960,145000,4,9,1965,648,960,0
1215,999,134500,5,5,1962,784,999,0
1216,894,125000,5,5,1966,180,894,0
1217,1902,112000,6,5,1978,0,1318,584
1218,1314,229456,8,5,2009,936,1314,0
1219,912,80500,4,5,1947,0,672,240
1220,1218,91500,6,5,1971,0,672,546
1221,912,115000,5,5,1964,312,912,0
1222,1211,134000,5,5,1968,250,1211,0
1223,1846,143000,6,6,1949,196,1168,678
1224,2136,137900,5,3,1951,756,2136,0
1225,1490,184000,7,5,2004,724,788,702
1226,1138,145000,6,8,1958,507,1138,0
1227,1933,214000,6,5,2007,0,894,1039
1228,912,147000,5,8,1965,595,912,0
1229,1702,367294,9,5,2008,1540,1702,0
1230,1507,127000,5,5,1960,666,1507,0
1231,2620,190000,5,5,1977,498,1361,1259
1232,1190,132500,5,6,1962,803,1190,0
1233,1224,101800,4,5,1962,0,1224,0
1234,1188,142000,5,5,1959,1000,1188,0
1235,1964,130000,5,6,1911,0,1024,940
1236,1784,138887,5,5,1914,0,892,892
1237,1626,175500,7,5,2003,0,764,862
1238,1948,195000,7,5,2004,0,847,1101
1239,1141,142500,6,5,2005,0,1141,0
1240,1484,265900,8,5,2006,428,1484,0
1241,1768,224900,7,5,2003,550,884,884
1242,1689,248328,7,6,2007,0,1689,0
1243,1173,170000,7,6,1974,885,1173,0
1244,2076,465000,10,5,2006,1386,2076,0
1245,1517,230000,8,7,1929,0,792,725
1246,1868,178000,6,7,1984,0,1140,728
1247,1553,186500,7,5,2005,0,756,797
1248,1034,169900,6,5,1976,539,1034,0
1249,2058,129500,6,5,1917,319,1134,924
1250,988,119000,5,7,1950,534,988,0
1251,2110,244000,7,5,1968,1065,2110,0
1252,1405,171750,7,5,2003,0,1405,0
1253,874,130000,5,6,1968,510,874,0
1254,2167,294000,7,7,1974,125,1516,651
1255,1656,165400,7,5,2003,0,760,896
1256,1367,127500,6,6,1931,425,959,408
1257,1987,301500,8,5,1994,1314,1987,0
1258,864,99900,5,8,1922,0,864,0
1259,1166,190000,7,5,2005,655,1166,0
1260,1054,151000,6,8,1969,602,1054,0
1261,1675,181000,6,5,1999,0,892,783
1262,1050,128900,5,6,1956,504,1050,0
1263,1788,161500,4,5,1957,0,1104,684
1264,1824,180500,6,6,1919,0,1060,764
1265,1337,181000,6,5,1998,266,1337,0
1266,1452,183900,7,5,1999,450,713,739
1267,1889,122000,7,4,1910,0,964,925
1268,2018,378500,9,5,2008,0,2018,0
1269,3447,381000,8,9,1935,192,1968,1479
1270,1524,144000,5,5,1958,460,874,650
1271,1524,260000,7,6,1979,1258,1332,192
1272,1489,185750,6,7,1968,0,1489,0
